hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y
500,1000,4.19,1000,61.58,750,40.66,0.75,12000,0.846281619
200,700,4.75,525,18.79,350,28,0,15400,0.627752189
800,267,4.5,600,48,400,21.68,-0.5,20800,0.737249865
800,320,6.86,600,43.58,400,21.68,0.25,17600,0.706535005
600,300,5.14,600,8.21,600,8.21,0,6000,0.706661884
800,533,3.35,800,58.11,400,27.58,1,12800,0.782548859
125,500,2.09,250,10.79,375,21.71,-0.5,18000,0.546494016
400,1000,4.8,250,20,500,30.79,0.5,4000,0.672618054
257,900,3.34,225,7.22,450,17.76,-0.75,25200,0.50987321
333,1000,4.8,750,57.24,500,8.68,0,12000,0.799710877
286,1000,11.61,250,14.47,1000,57.89,-0.25,20000,0.764443143
700,200,6,350,7.37,700,48.26,-0.5,7000,0.723868928
1000,400,11.61,500,34.47,500,11.61,0.5,8000,0.733645785
200,700,12.6,525,26.53,525,12.6,0,14000,0.656416261
160,400,2.72,200,14.53,100,6.16,-0.75,9600,0.456851971
900,225,16.2,900,25.58,675,16.2,0,30600,0.686083942
86,300,1,75,4.34,150,2.61,0.25,1800,0.360517789
600,171,5.14,450,14.45,600,28.11,-0.75,24000,0.624089212
700,233,28,700,48.26,350,28,1,11200,0.741484085
100,400,2.25,100,2.25,200,4.95,-0.25,4800,0.33702372
300,86,1,150,1.5,225,8.88,-1,4800,0.423518647
400,200,1.67,100,5.79,100,1.67,0.75,9600,0.250546643
700,350,4.75,525,34.26,700,30.21,-0.75,14000,0.740308383
800,533,2.97,400,14.32,600,14.84,-0.75,24000,0.578571926
300,150,1.69,225,3.08,150,7.58,0.25,4200,0.454754962
800,800,3.84,400,20.21,400,21.68,1,3200,0.759038069
300,200,1.11,300,15.16,150,7.58,1,10200,0.491202507
200,400,1.67,200,3.47,400,24.63,1,12800,0.516226366
600,400,2.88,150,6.47,300,21.79,0.5,14400,0.466981156
300,600,3.38,150,8.13,300,8.53,0.75,12000,0.377618116
400,800,32,600,32,800,32,-1,11200,0.789349267
700,350,2.33,350,25.42,350,25.42,1,12600,0.585268149
300,200,12,300,12,300,15.16,0.5,3600,0.616527852
200,300,1.44,300,8.53,75,4.07,0.5,9600,0.456622399
800,267,9.29,600,45.79,800,13.89,-0.25,6400,0.841645525
133,400,1.33,100,5.42,200,10.11,-1,6400,0.424428641
600,600,2.88,300,14.05,600,39.16,0.75,4800,0.672557085
125,500,2.81,375,17.57,250,9.87,-1,17000,0.528028977
900,300,3,675,26.64,900,48.79,-0.25,21600,0.740108629
500,500,4.29,500,34.47,375,14.8,-1,7000,0.714500215
400,267,2.72,300,7.42,200,16,-0.75,7200,0.566211279
450,900,3.34,225,12.2,225,12.2,-0.5,5400,0.597003822
667,1000,4.8,500,40,750,29.61,0.25,18000,0.690646967
1000,333,8.57,250,17.24,500,34.47,1,38000,0.530077837
150,300,2.57,150,3.71,75,4.34,0,10200,0.292856111
175,700,6,175,6,175,14,1,11200,0.39201013
500,200,9,250,11.71,375,10.66,-0.5,4000,0.63729625
700,175,4.75,525,20.72,175,12.07,0,16800,0.625321808
600,171,2.88,150,3.71,600,21.47,0.25,19200,0.525837535
700,467,6,700,14.74,350,15.11,-0.25,15400,0.677686243
400,400,1.33,300,5.21,400,4,-0.25,12000,0.467347757
500,250,9,375,25.86,375,13.42,0,5000,0.710522883
200,500,20,125,20,125,20,0.75,18000,0.423779379
400,400,3.43,300,18.47,200,5.68,0,8800,0.576992761
300,200,5.4,150,5.4,225,16.34,-0.5,12000,0.45515316
240,600,24,150,24,600,24,0.75,18000,0.573664051
500,333,2.4,375,17.57,250,8.95,0.25,7000,0.631834825
300,86,1.44,225,16.34,75,6,0,3000,0.60850339
1000,333,4.8,500,34.47,1000,68.95,0.75,36000,0.713734892
600,400,3.38,600,39.16,300,15.16,0.75,19200,0.660514548
500,200,4.29,250,15.39,125,4.29,-0.25,16000,0.487624065
171,600,10.8,600,45.79,300,10.8,1,9600,0.714974073
600,900,5.06,225,13.03,450,6.16,-0.75,36000,0.433152935
667,1000,11.61,750,60,1000,72.63,0.5,32000,0.763364627
700,700,6,175,6,175,10.13,-0.5,21000,0.390179676
286,1000,6.79,500,30.79,750,57.24,1,38000,0.653766931
500,143,2.81,375,24.47,375,23.09,-0.75,5000,0.730705758
800,200,4.5,800,8,600,28.11,-0.25,14400,0.69578775
100,400,7.2,200,9.37,100,7.2,-0.75,3200,0.509078829
300,86,1.26,75,1.26,75,1.26,0.5,4200,0.176792115
1000,250,3.33,250,15.39,250,10.79,-0.75,12000,0.552974492
360,900,6.11,900,45.47,225,11.37,-0.5,12600,0.750263188
1000,333,5.62,250,15.39,750,21.32,0,12000,0.589125777
400,600,5.14,300,19.58,300,11.84,0.75,22800,0.480989547
400,100,2.72,300,10.74,100,2.84,-0.25,13600,0.488421293
800,320,4.5,800,52.21,600,12.63,0,16000,0.789107405
300,300,1.69,75,5.72,225,15.51,-1,6000,0.45910742
800,267,14.4,400,21.68,800,34.53,-1,24000,0.669487611
900,360,6.11,900,18.95,900,58.74,1,28800,0.7019688
1000,1000,4.19,250,4.34,1000,43.16,-0.25,12000,0.677508536
75,300,2.04,225,6.39,300,11.84,0.5,10800,0.443342454
400,160,3.43,200,10.11,200,10.11,-0.5,12000,0.463327479
1000,333,6.79,1000,43.16,500,36.32,0.75,32000,0.713545948
267,400,1.48,300,14.05,100,6.89,-0.5,8800,0.519766603
500,143,9,250,9,125,9,-0.25,20000,0.435693391
300,120,2.57,300,12.95,150,5.92,0,6600,0.55612963
225,900,3.34,900,38.84,450,22.74,0.5,23400,0.70591929
360,900,7.71,225,12.2,675,16.7,-0.75,3600,0.683010556
600,200,6.97,150,6.97,450,31.03,-1,8400,0.60346958
450,900,3.34,450,21.08,900,22.26,0,23400,0.623252907
200,800,32,200,32,400,32,0,11200,0.635707074
900,225,36,225,36,675,36,0.5,25200,0.633292401
800,200,2.67,200,10.84,600,8.21,-0.75,32000,0.427260205
1000,333,6.79,1000,39.47,500,38.16,-0.25,20000,0.805704465
300,100,2.57,300,11.84,300,17.37,-0.5,7800,0.584978116
400,114,3.43,300,14.05,300,11.84,0,12000,0.528790874
500,125,2.4,250,4.34,500,17.89,0.5,6000,0.551471273
240,600,10.8,600,23.68,600,10.8,0,12000,0.680855062
700,200,3.36,350,22.84,700,35.37,0.75,21000,0.61930047
300,86,3.48,75,4.07,150,6.47,0.25,600,0.503482237
86,300,1.44,75,6,225,14.68,-1,2400,0.534332487
700,467,4.75,525,11.05,525,26.53,0.25,18200,0.602826845
1000,286,18,750,60,500,25.26,1,38000,0.679703195
229,800,5.43,600,32.53,800,13.89,0.5,19200,0.663253044
1000,286,11.61,250,11.61,500,23.42,-1,14000,0.59155747
800,267,3.84,400,26.11,200,10.11,-0.5,9600,0.664776703
150,600,2.23,450,29.37,600,43.58,0,8400,0.736887161
1000,250,6.79,750,54.47,750,46.18,0,14000,0.814195594
667,1000,3.71,750,35.13,500,28.95,-1,10000,0.783682392
300,600,10.8,150,10.8,150,10.8,-0.25,15600,0.417480024
267,400,2.72,200,7.89,100,3.58,0.25,14400,0.368476724
300,300,1.69,150,4.26,150,4.26,1,5400,0.355277048
400,160,4.65,400,5.47,300,11.84,0.25,15200,0.479830233
150,600,3.38,600,32.53,300,20.68,1,7200,0.711710779
1000,250,4.19,250,11.71,500,5,0,24000,0.448203729
360,900,7.71,450,16.11,675,49.03,0,5400,0.764459765
900,600,16.2,225,16.2,450,16.2,-0.5,16200,0.556609982
500,125,4.29,250,4.29,250,12.63,1,5000,0.481364926
900,360,3,675,44.05,675,11.72,0.5,9000,0.788328236
900,600,36,225,36,675,36,0.75,16200,0.644045589
240,600,2.51,150,3.71,150,7.58,-0.25,7200,0.385122022
333,1000,4.8,750,24.08,1000,54.21,0.25,24000,0.737811131
286,1000,3.33,500,36.32,500,6.84,0,34000,0.608236982
200,500,2.81,250,3.42,375,3.75,0.75,12000,0.362116381
800,800,4.5,800,25.68,800,8,0.25,30400,0.660419633
114,400,1.48,200,15.26,400,18.74,0.25,8800,0.55239694
75,300,1.69,150,7.03,75,1.69,-0.25,8400,0.349213884
1000,1000,4.8,750,13.03,250,19.08,-0.75,10000,0.668127724
800,800,5.43,200,5.43,600,34.74,-0.75,30400,0.591911423
500,143,9,500,9,375,25.86,-0.75,13000,0.637975654
800,267,4.5,800,16.84,200,8.63,0.75,25600,0.592898163
150,300,12,300,15.16,75,12,0.75,2400,0.638272507
333,1000,3.33,500,40,250,8.95,0.5,8000,0.730685707
900,360,3,225,3.91,675,24.16,1,10800,0.543467761
200,800,5.43,200,10.11,400,15.79,0.5,9600,0.50296994
600,900,3.77,225,4.74,225,17.17,0.25,34200,0.387530833
400,600,3.38,300,15.16,300,16.26,0.75,2400,0.701056554
200,400,4.65,100,4.65,300,15.16,0.5,11200,0.440716257
100,300,12,300,22.89,75,12,0.25,4800,0.606912972
300,300,1.11,150,11.45,225,15.51,-1,2400,0.609791598
700,175,3.36,700,53.42,525,36.2,0.75,9800,0.776812586
400,200,2.72,200,16,200,13.79,-0.5,6400,0.559866209
533,800,2.67,600,36.95,400,4,0.25,32000,0.632518874
143,500,20,125,20,250,20,-0.25,13000,0.520991494
300,300,2.04,300,3,225,5.57,-0.75,6600,0.497107786
1000,333,3.71,1000,21.05,500,40,-0.75,26000,0.742442577
900,360,10.45,225,18,450,22.74,1,3600,0.632202585
300,900,3.34,900,12.32,450,34.34,1,25200,0.621629162
700,233,4.75,350,12.53,700,50.84,0.5,19600,0.667534465
1000,1000,6.79,1000,10,750,32.37,0.25,40000,0.642530686
600,171,5.14,300,8.53,300,15.16,1,13200,0.468253094
700,175,3.94,350,18.97,175,12.71,-1,4200,0.615847898
500,200,2.09,500,6.84,125,4.47,0.25,19000,0.48200433
500,250,1.67,500,23.42,250,15.39,0.75,12000,0.619234757
533,800,3.84,600,10.42,400,29.05,-0.25,28800,0.592842817
267,800,6.86,200,10.11,400,24.63,0,11200,0.557948497
600,240,4.08,450,4.5,450,11.13,-0.5,22800,0.504824652
300,120,12,150,12,300,12,1,9600,0.446623569
100,300,3.48,150,4.26,225,14.68,0.75,8400,0.424686014
100,400,4.65,200,9.37,100,4.65,0.75,10400,0.386597707
400,1000,6.79,500,16.05,500,14.21,0.75,20000,0.568259572
400,800,4.5,400,5.47,200,11.58,0.5,30400,0.414158608
900,360,3,225,3,225,8.88,-1,9000,0.484371356
100,300,5.4,225,9.71,225,7.22,-0.75,7200,0.495322067
900,225,36,450,36,900,52.11,0.75,10800,0.749087386
333,500,2.09,125,2.09,375,13.42,0.5,11000,0.428568898
800,320,32,600,32,400,32,-0.5,22400,0.708415176
700,700,2.33,350,22.84,175,9.49,0.5,11200,0.599952871
100,400,3.43,200,12.32,200,3.43,0.25,6400,0.47412253
400,133,2.72,200,8.63,100,6.16,-1,3200,0.464212928
900,360,6.11,675,9.24,675,49.03,0,25200,0.675492361
350,700,6,350,20.26,175,6.26,0.75,8400,0.594161071
250,500,5.81,250,13.55,500,27.11,-0.5,6000,0.655541387
600,400,2,600,23.68,150,9.79,0.5,10800,0.680864654
900,360,36,675,36,900,52.11,-0.5,25200,0.761807968
200,700,3.36,350,16.39,175,9.49,0.25,14000,0.531532022
280,700,2.93,525,28.46,700,9.58,-0.5,12600,0.700683659
500,250,3.4,250,6.18,375,10.66,0.75,8000,0.474248069
600,150,5.14,300,24,150,5.14,0,19200,0.53398354
250,1000,3.33,250,7.11,250,9.87,-0.5,14000,0.464879571
700,700,8.13,700,22.47,350,12.53,-1,22400,0.610336448
500,333,20,250,20,375,30,0,6000,0.64661762
267,400,2.25,400,14.32,400,23.16,-0.5,12800,0.611310833
200,400,1.67,100,3.95,400,6.95,1,9600,0.339065776
533,800,2.67,800,8,600,19.26,-0.5,24000,0.632003857
900,900,3,675,21.67,675,9.24,0,21600,0.672825559
400,100,3.43,400,4,200,5.68,-0.5,10400,0.517465019
900,900,7.71,225,11.37,450,32.68,0.75,5400,0.607366445
533,800,14.4,800,34.53,200,14.4,0.75,22400,0.682124243
900,225,5.06,675,44.05,450,16.11,-0.75,23400,0.730036284
600,900,5.06,675,41.57,450,16.11,0.25,32400,0.666727852
360,900,36,900,38.84,675,36,-0.5,18000,0.78509594
100,400,7.2,100,7.2,400,20.21,-0.25,13600,0.550565182
300,200,1.11,150,4.82,150,11.45,1,5400,0.387090586
500,250,20,375,23.09,250,20,-0.5,18000,0.607833136
200,300,1.69,75,5.17,225,10.54,0.75,12000,0.347440611
900,900,16.2,225,16.2,900,45.47,0.5,21600,0.657864075
500,1000,5.62,500,6.84,500,28.95,0.75,26000,0.54898065
800,800,5.43,200,5.43,400,5.43,0.25,27200,0.353442666
400,800,3.84,200,15.26,200,10.84,0.25,14400,0.456709368
800,229,6.86,400,6.86,800,61.05,0.5,22400,0.699430387
400,400,2.72,200,10.84,100,6.89,0.25,15200,0.403642324
800,200,5.43,200,10.11,200,5.43,-0.75,20800,0.429721335
600,240,5.14,300,9.63,450,11.13,0.25,13200,0.503141206
600,171,2.88,600,19.26,300,6.32,-0.75,18000,0.629911852
200,800,2.97,400,5.47,800,19.79,0.5,24000,0.555722207
400,133,16,100,16,400,18.74,0.5,13600,0.509456222
175,700,28,700,32.79,525,42,1,5600,0.788709396
600,600,2.51,150,10.34,450,32.68,-0.75,16800,0.581151622
350,700,4.75,525,9.12,350,25.42,0.25,19600,0.566212991
500,500,2.4,250,18.16,250,7.11,0.75,8000,0.538497131
150,600,10.8,450,10.8,150,10.89,-0.25,8400,0.580258689
300,120,2.04,75,2.04,225,9.71,-1,7200,0.380497947
700,700,8.13,350,20.26,700,45.68,1,9800,0.666786612
150,600,2.51,150,7.58,300,8.53,0.5,19200,0.359962017
400,160,7.2,200,7.2,100,7.2,0.25,10400,0.408186509
300,300,3.48,225,17.17,150,3.48,-1,3600,0.531158483
500,1000,6.79,1000,68.95,750,46.18,1,20000,0.798504556
250,500,2.4,375,5.13,250,8.95,-0.5,5000,0.599724996
280,700,2.6,700,30.21,350,9.95,-0.5,8400,0.736214714
257,900,5.06,900,12.32,900,48.79,0.5,27000,0.696009515
900,300,16.2,450,21.08,675,19.18,0,32400,0.586781542
900,450,6.11,675,39.08,225,6.11,-1,18000,0.666407213
286,1000,3.33,250,18.16,250,4.34,-0.25,12000,0.530558649
500,500,2.09,250,16.32,250,4.34,0,14000,0.501358909
500,1000,3.33,500,40,750,57.24,-0.25,28000,0.719875979
600,200,3.38,150,10.34,300,24,0.75,22800,0.458387987
300,300,5.4,225,5.57,75,5.4,-0.25,8400,0.43677119
800,800,2.67,600,19.26,400,18.74,-0.5,27200,0.632864866
667,1000,40,750,40,500,40,-0.75,28000,0.744383087
333,1000,6.79,1000,65.26,750,10.26,-1,18000,0.784409628
600,300,2,600,28.11,450,14.45,0.75,24000,0.608965638
900,257,10.45,900,15.63,675,10.45,-1,23400,0.656026529
800,320,5.43,600,36.95,800,22.74,0.75,11200,0.724681282
86,300,5.4,75,5.4,150,5.4,-0.25,6600,0.327899051
700,200,3.36,350,20.26,700,12.16,-0.5,12600,0.624317436
1000,400,8.57,250,8.57,500,27.11,0.5,40000,0.50541465
257,900,3.34,450,22.74,450,34.34,-0.5,9000,0.709247576
700,280,2.6,175,6.26,700,48.26,1,18200,0.646531883
900,225,36,900,36,450,36,-0.25,21600,0.771933571
125,500,2.4,125,8.62,375,5.13,1,2000,0.504259545
700,467,2.93,350,7.37,700,17.32,-1,25200,0.54888578
900,360,6.11,225,17.17,900,25.58,-1,36000,0.582862822
1000,400,4.8,250,10.79,750,40.66,0.5,36000,0.604363838
333,1000,4.8,750,40.66,500,38.16,0.75,16000,0.73052393
900,360,16.2,450,16.2,900,55.42,0.5,7200,0.758457495
500,333,2.09,125,2.63,125,7.7,0.75,13000,0.265887297
300,150,1.44,300,12.95,75,1.44,-0.25,6600,0.563243659
600,200,6.97,300,8.53,600,14.84,0.25,21600,0.501356669
167,500,1.86,250,20,500,23.42,1,16000,0.543187416
333,500,1.86,500,38.16,375,3.75,0.5,18000,0.638795927
167,500,1.86,250,19.08,125,9.54,0.5,2000,0.675425582
800,800,2.67,800,43.37,200,2.67,0.75,11200,0.78068864
400,100,4.65,400,18.74,300,8.53,0.75,4800,0.637208904
286,1000,5.62,750,37.89,1000,50.53,-0.75,32000,0.764656379
300,900,4.32,450,6.16,900,38.84,0.5,34200,0.63581496
300,86,5.4,150,5.4,75,5.4,0.5,10800,0.310279631
1000,333,6.79,500,32.63,1000,35.79,-0.75,14000,0.753738704
400,400,3.43,300,22.89,300,22.89,-0.75,3200,0.740580829
167,500,2.4,500,36.32,375,12.04,1,11000,0.65553541
600,240,4.08,600,10.42,450,14.45,1,18000,0.5458587
800,533,14.4,600,21.47,400,14.4,-0.75,12800,0.690317841
150,300,1.69,300,16.26,75,5.17,0,10800,0.51716543
150,300,1.26,75,1.86,225,8.05,1,6000,0.322060576
233,700,2.33,525,5.25,175,8.2,0.5,11200,0.532470474
267,400,1.67,200,4.95,200,10.84,-0.5,4800,0.505087753
900,225,6.11,900,22.26,675,51.51,0.5,18000,0.733450732
600,400,10.8,600,12.63,300,22.89,-0.25,16800,0.636566357
600,600,4.08,600,8.21,450,21.08,0,12000,0.642463913
333,1000,40,750,40,500,40,0,18000,0.749039111
240,600,24,450,29.37,300,24,-0.75,4800,0.752651631
800,533,32,200,32,400,32,0.75,27200,0.562888756
114,400,2.25,200,15.26,100,2.25,0.25,7200,0.477641874
500,250,2.4,250,18.16,375,10.66,1,19000,0.459964645
900,300,3.77,675,36.59,900,68.68,-1,30600,0.774199413
300,75,1.26,150,8.13,150,11.45,0,3600,0.486210156
257,900,16.2,675,49.03,450,21.08,0.75,25200,0.680639404
360,900,3.34,675,21.67,900,58.74,-0.5,36000,0.733964654
86,300,2.57,300,5.21,75,2.68,-0.5,6600,0.40123178
200,500,2.4,250,13.55,375,7.89,0,18000,0.464729171
400,133,1.92,200,3.47,400,21.68,1,13600,0.497867835
500,143,20,125,20,250,20,-0.25,10000,0.534231748
500,333,9,375,16.18,125,9.54,0,13000,0.568277717
333,500,1.67,500,40,500,6.84,0,6000,0.768399613
100,300,5.4,150,5.4,300,7.42,0.5,8400,0.396739577
250,1000,11.61,1000,21.05,1000,39.47,-0.75,22000,0.767116056
600,400,2,300,7.42,150,5.92,0.5,20400,0.408551984
333,500,2.09,250,11.71,500,21.58,-0.25,20000,0.546033141
240,600,24,150,24,150,24,0,20400,0.48711803
800,800,4.5,800,31.58,800,43.37,-1,9600,0.856820372
150,300,2.04,150,5.37,150,7.03,0.25,9000,0.346398462
800,267,3.35,400,18.74,800,25.68,-0.75,6400,0.742508071
133,400,1.48,200,4.21,100,3.58,-0.75,2400,0.483276434
175,700,8.13,525,22.66,175,8.13,1,9800,0.629338313
320,800,32,200,32,200,32,-0.75,9600,0.632000788
500,333,4.29,500,40,500,16.05,-0.75,8000,0.75918611
600,600,4.08,450,11.13,300,11.84,-1,21600,0.527838016
800,320,4.5,800,58.11,800,37.47,-1,19200,0.799430643
225,900,4.32,675,36.59,225,12.2,-0.75,36000,0.634860527
700,467,28,350,28,525,34.26,-0.75,25200,0.649876669
233,700,2.33,525,11.05,175,8.84,1,25200,0.483003538
160,400,2.25,400,15.79,300,4.11,-0.75,7200,0.591187974
900,900,6.11,900,18.95,900,12.32,1,12600,0.743081868
1000,1000,4.8,500,14.21,250,15.39,-1,20000,0.55559561
500,500,1.86,375,3.75,375,27.24,-0.25,14000,0.563796917
900,600,4.32,450,12.79,900,55.42,-1,34200,0.706514572
700,280,6,700,37.95,525,28.46,0.25,25200,0.685933446
280,700,2.6,525,26.53,525,11.05,-1,7000,0.736152826
800,267,6.86,200,16,600,36.95,0.25,17600,0.608104744
200,400,4.65,300,5.21,400,9.89,1,6400,0.493512426
300,150,1.69,300,20.68,150,8.68,-0.75,10800,0.567416454
150,600,10.8,600,41.37,450,36,-1,14400,0.728955868
100,300,3.48,150,3.48,150,5.37,1,10800,0.274271391
1000,333,4.19,500,38.16,1000,32.11,1,28000,0.650116632
400,160,2.72,400,4,300,11.84,0.75,8000,0.497242271
900,257,16.2,225,17.17,675,16.2,-0.25,18000,0.557364263
467,700,2.93,525,22.66,350,6.08,-0.25,5600,0.756846703
267,400,4.65,300,22.89,100,4.65,-0.25,3200,0.672339141
300,300,1.26,300,16.26,300,3,0,6600,0.586801833
167,500,2.81,375,17.57,375,3.75,0.25,6000,0.627031033
200,300,1.44,300,18.47,300,22.89,-0.75,6600,0.638355463
900,450,7.71,225,10.54,225,9.71,0.75,12600,0.455662251
150,600,2.51,450,16.11,450,31.03,0.25,7200,0.671285295
267,400,1.33,300,5.21,400,32,0.25,12000,0.583577447
600,200,2,600,32.53,300,5.21,0.75,21600,0.622691564
800,800,14.4,200,14.4,800,46.32,0,22400,0.66373141
700,280,2.33,700,7,700,19.89,1,16800,0.584112284
300,75,2.57,150,12,150,4.26,0.75,2400,0.50243512
900,450,16.2,225,16.2,900,55.42,-0.25,7200,0.742743652
300,900,3.77,225,4.74,225,8.05,-0.5,16200,0.407485856
333,500,1.67,375,12.04,375,10.66,-1,20000,0.532114591
143,500,9,250,10.79,500,17.89,0.5,19000,0.514965947
900,300,3.34,675,24.16,450,19.42,1,27000,0.60393347
120,300,1.69,225,7.22,150,9.24,0.25,5400,0.468704801
100,300,1.44,75,6,150,10.34,0.5,600,0.51513477
600,300,2.23,150,2.23,450,29.37,0.25,12000,0.558848311
400,600,2.51,300,8.53,450,12.79,-0.5,24000,0.483426937
200,500,20,125,20,125,20,0,17000,0.452725181
300,86,1.69,225,10.54,75,1.69,-1,9000,0.433338082
86,300,1.69,225,17.17,225,17.17,0.75,4200,0.5588744
450,900,6.11,675,41.57,675,6.75,-0.5,36000,0.680508661
900,225,4.32,450,7.82,225,16.34,0.25,12600,0.566537358
1000,400,4.19,1000,54.21,1000,80,-0.5,12000,0.912984286
500,125,5.81,375,16.18,500,25.26,1,11000,0.591248456
1000,333,11.61,250,18.16,750,18.55,-0.75,26000,0.560538482
800,320,5.43,800,43.37,600,6,-1,24000,0.70743178
267,800,2.97,600,28.11,800,37.47,0.25,17600,0.701440222
400,133,1.67,200,4.21,400,15.79,1,9600,0.470228814
400,400,2.25,300,9.63,400,9.89,0.75,6400,0.545474201
143,500,20,500,20,125,20,-1,18000,0.568920778
200,600,10.8,450,12.79,600,48,1,6000,0.708422568
200,400,1.67,400,24.63,300,24,0,14400,0.605373851
133,400,1.92,400,20.21,300,16.26,-1,10400,0.607837476
600,400,5.14,300,18.47,150,5.14,-0.5,20400,0.524581865
150,300,12,75,12,75,12,-0.75,7200,0.403822596
171,600,2.51,450,24.39,600,6,-1,12000,0.656025323
700,467,12.6,525,32.33,525,24.59,-0.25,22400,0.667452482
75,300,1.44,75,5.72,225,13.86,0.5,10200,0.410982606
1000,250,6.79,500,25.26,750,29.61,-0.75,22000,0.683501315
500,167,1.86,375,17.57,125,5.86,0.25,17000,0.530261141
667,1000,8.57,1000,57.89,750,21.32,-0.25,28000,0.79327047
800,229,2.67,800,37.47,800,52.21,-0.25,9600,0.844915541
600,600,2.51,450,27.71,450,12.79,0.75,20400,0.586491704
300,300,1.26,150,1.5,75,3.79,0,6000,0.313231016
533,800,14.4,600,36.95,800,58.11,1,8000,0.779113527
1000,667,3.33,1000,35.79,500,38.16,1,20000,0.746721357
1000,400,5.62,250,16.32,750,51.71,-0.5,24000,0.673578542
900,257,5.06,900,45.47,675,46.54,0.5,18000,0.770858039
500,125,1.67,250,3.42,375,18.95,-0.5,4000,0.589950583
700,700,6,700,30.21,700,56,0.75,22400,0.70297806
300,100,3.48,300,18.47,75,3.48,-0.5,7200,0.600098781
120,300,5.4,150,7.58,75,5.45,0.25,9000,0.354988073
500,250,3.4,250,20,375,3.75,0.5,14000,0.498046663
500,500,1.86,125,5.39,375,13.42,-0.75,2000,0.582493523
400,1000,5.62,750,15.79,500,40,1,18000,0.658955334
600,300,5.14,600,32.53,450,14.45,0.25,20400,0.657368847
1000,1000,6.79,1000,54.21,250,15.39,-0.25,20000,0.819818261
171,600,24,450,24,300,24,0.75,2400,0.776236121
114,400,3.43,100,3.43,400,12.84,-0.25,8000,0.509465227
500,250,20,375,20,250,20,-1,2000,0.759704265
400,400,3.43,100,3.95,100,5.05,-1,5600,0.365567455
700,175,2.93,350,15.11,700,48.26,1,16800,0.656733345
700,350,8.13,350,15.11,700,40.53,0.5,2800,0.760300823
900,600,3,675,36.59,900,45.47,-0.25,12600,0.797594832
900,360,36,675,49.03,225,36,-1,5400,0.781825778
175,700,28,700,28,175,28,0,18200,0.66789147
700,700,2.93,700,32.79,350,7.37,0.75,8400,0.770052175
900,225,3.77,450,19.42,450,19.42,-0.75,7200,0.728592793
700,700,2.93,350,20.26,350,6.08,0.5,22400,0.520788711
333,500,2.81,500,32.63,500,6.84,0.5,13000,0.655032272
125,500,2.09,125,8.16,125,10,1,18000,0.293663217
400,133,16,100,16,200,16,0.25,10400,0.462211875
86,300,1.26,75,3.79,225,8.88,0.75,12000,0.329985661
1000,286,6.79,750,40.66,750,54.47,0,32000,0.730771463
300,86,1.44,225,8.05,75,3.51,-0.5,2400,0.52475162
75,300,5.4,300,15.16,300,10.74,0.5,4800,0.577731033
300,100,1.69,75,2.68,225,3.08,-0.5,4800,0.290174461
900,600,3,450,27.71,450,27.71,-1,25200,0.643855064
900,225,3,675,19.18,450,32.68,0.25,12600,0.704643807
400,400,2.72,300,21.79,400,29.05,-0.75,13600,0.625664339
800,267,6.86,400,27.58,600,43.58,-1,30400,0.665062997
600,900,3.77,675,29.13,900,58.74,1,18000,0.723242401
800,800,32,200,32,400,32,-0.75,14400,0.644352287
400,1000,3.33,500,32.63,250,8.95,0.5,40000,0.565661452
533,800,5.43,400,18.74,200,9.37,-0.75,6400,0.625668043
400,400,1.67,300,12.95,400,17.26,-0.75,10400,0.589612414
500,167,9,375,27.24,375,12.04,0.75,17000,0.562156512
600,240,4.08,600,36.95,450,12.79,-0.75,22800,0.6917734
120,300,12,75,12,150,12,-0.5,4200,0.464333284
114,400,3.43,400,26.11,300,12.95,1,12800,0.571551545
1000,1000,4.8,750,37.89,750,13.03,0.5,12000,0.784962405
700,467,8.13,350,21.55,175,12.71,0.5,5600,0.665628149
400,114,3.43,300,10.74,200,9.37,0.75,6400,0.522224556
800,320,5.43,400,5.47,400,32,-1,24000,0.585052684
500,333,20,250,20,500,20,0.25,18000,0.559424697
171,600,2.88,150,7.03,300,12.95,0.75,7200,0.442353861
400,160,1.33,100,3.21,200,9.37,0.75,12000,0.31549961
400,200,7.2,100,7.2,400,7.2,0.25,16000,0.373979019
400,800,2.97,600,32.53,600,12.63,-0.5,11200,0.745798344
600,300,5.14,600,23.68,450,22.74,-0.75,21600,0.66359683
800,200,2.97,600,30.32,400,9.89,1,11200,0.676031004
225,900,6.11,675,6.75,225,6.11,1,30600,0.46884281
500,167,4.29,375,6.51,125,4.29,-0.5,16000,0.47028899
800,400,9.29,200,13.05,800,25.68,-1,4800,0.6789365
257,900,3.34,450,12.79,225,5.57,0,25200,0.506024812
700,350,4.75,525,7.18,350,6.08,0.25,28000,0.485224826
600,900,7.71,675,51.51,225,18,-1,32400,0.669814676
800,320,4.5,400,11.37,200,10.84,-0.75,24000,0.507281585
667,1000,40,1000,40,250,40,0.5,22000,0.760576436
600,300,4.08,600,41.37,450,32.68,-0.5,19200,0.727648661
600,150,5.14,150,5.37,300,21.79,0.75,15600,0.462101279
114,400,3.43,200,3.43,100,3.43,-0.5,15200,0.305612556
500,333,2.09,250,15.39,375,6.51,0,10000,0.531045183
400,1000,3.71,250,3.71,250,14.47,-0.25,34000,0.396336799
700,467,4.75,350,21.55,700,32.79,0.5,11200,0.646121887
